numNodes,maxFaults,failProb,realFaults,honestMsgCount,failedMsgCount,totalMsgCount,multiplier
5,4,1.000000,4,4,2,6,0.430284
5,4,1.000000,4,4,2,6,0.430284
5,4,1.000000,4,4,2,6,0.430284
5,4,1.000000,4,4,2,6,0.430284
5,4,1.000000,4,4,2,6,0.430284
5,4,1.000000,4,4,2,6,0.430284
5,4,1.000000,4,4,2,6,0.430284
5,4,1.000000,4,4,2,6,0.430284
5,4,1.000000,4,4,2,6,0.430284
5,4,1.000000,4,4,2,6,0.430284
10,9,1.000000,9,9,10,19,0.494013
10,9,1.000000,9,9,10,19,0.494013
10,9,1.000000,9,9,10,19,0.494013
10,9,1.000000,9,9,10,19,0.494013
10,9,1.000000,9,9,10,19,0.494013
10,9,1.000000,9,9,10,19,0.494013
10,9,1.000000,9,9,10,19,0.494013
10,9,1.000000,9,9,10,19,0.494013
10,9,1.000000,9,9,10,19,0.494013
10,9,1.000000,9,9,10,19,0.494013
15,14,1.000000,14,14,30,44,0.635638
15,14,1.000000,14,14,30,44,0.635638
15,14,1.000000,14,14,30,44,0.635638
15,14,1.000000,14,14,30,44,0.635638
15,14,1.000000,14,14,30,44,0.635638
15,14,1.000000,14,14,30,44,0.635638
15,14,1.000000,14,14,30,44,0.635638
15,14,1.000000,14,14,30,44,0.635638
15,14,1.000000,14,14,30,44,0.635638
15,14,1.000000,14,14,30,44,0.635638
20,19,1.000000,19,19,45,64,0.609695
20,19,1.000000,19,19,45,64,0.609695
20,19,1.000000,19,19,45,64,0.609695
20,19,1.000000,19,19,45,64,0.609695
20,19,1.000000,19,19,45,64,0.609695
20,19,1.000000,19,19,45,64,0.609695
20,19,1.000000,19,19,45,64,0.609695
20,19,1.000000,19,19,45,64,0.609695
20,19,1.000000,19,19,45,64,0.609695
20,19,1.000000,19,19,45,64,0.609695
25,24,1.000000,24,24,79,103,0.710345
25,24,1.000000,24,24,79,103,0.710345
25,24,1.000000,24,24,79,103,0.710345
25,24,1.000000,24,24,79,103,0.710345
25,24,1.000000,24,24,79,103,0.710345
25,24,1.000000,24,24,79,103,0.710345
25,24,1.000000,24,24,79,103,0.710345
25,24,1.000000,24,24,79,103,0.710345
25,24,1.000000,24,24,79,103,0.710345
25,24,1.000000,24,24,79,103,0.710345
30,29,1.000000,29,29,93,122,0.646051
30,29,1.000000,29,29,93,122,0.646051
30,29,1.000000,29,29,93,122,0.646051
30,29,1.000000,29,29,93,122,0.646051
30,29,1.000000,29,29,93,122,0.646051
30,29,1.000000,29,29,93,122,0.646051
30,29,1.000000,29,29,93,122,0.646051
30,29,1.000000,29,29,93,122,0.646051
30,29,1.000000,29,29,93,122,0.646051
30,29,1.000000,29,29,93,122,0.646051
35,34,1.000000,34,34,130,164,0.694484
35,34,1.000000,34,34,130,164,0.694484
35,34,1.000000,34,34,130,164,0.694484
35,34,1.000000,34,34,130,164,0.694484
35,34,1.000000,34,34,130,164,0.694484
35,34,1.000000,34,34,130,164,0.694484
35,34,1.000000,34,34,130,164,0.694484
35,34,1.000000,34,34,130,164,0.694484
35,34,1.000000,34,34,130,164,0.694484
35,34,1.000000,34,34,130,164,0.694484
40,39,1.000000,39,39,146,185,0.645369
40,39,1.000000,39,39,146,185,0.645369
40,39,1.000000,39,39,146,185,0.645369
40,39,1.000000,39,39,146,185,0.645369
40,39,1.000000,39,39,146,185,0.645369
40,39,1.000000,39,39,146,185,0.645369
40,39,1.000000,39,39,146,185,0.645369
40,39,1.000000,39,39,146,185,0.645369
40,39,1.000000,39,39,146,185,0.645369
40,39,1.000000,39,39,146,185,0.645369
45,44,1.000000,44,44,190,234,0.687910
45,44,1.000000,44,44,190,234,0.687910
45,44,1.000000,44,44,190,234,0.687910
45,44,1.000000,44,44,190,234,0.687910
45,44,1.000000,44,44,190,234,0.687910
45,44,1.000000,44,44,190,234,0.687910
45,44,1.000000,44,44,190,234,0.687910
45,44,1.000000,44,44,190,234,0.687910
45,44,1.000000,44,44,190,234,0.687910
45,44,1.000000,44,44,190,234,0.687910
50,49,1.000000,49,49,218,267,0.673422
50,49,1.000000,49,49,218,267,0.673422
50,49,1.000000,49,49,218,267,0.673422
50,49,1.000000,49,49,218,267,0.673422
50,49,1.000000,49,49,218,267,0.673422
50,49,1.000000,49,49,218,267,0.673422
50,49,1.000000,49,49,218,267,0.673422
50,49,1.000000,49,49,218,267,0.673422
